,username,recipe_id,rating
0,sule,Parmesan-Crusted-Tilapia-518163,2
1,sule,Tomato-Basil-Spaghetti-Squash-Bake-1119451,5
2,sule,Easy-french-ratatouille-308073,5
3,sule,Slow-Cooker-Boeuf-Bourguignon-1056256,5
4,sule,Asian_Style-Pork-Chops-Martha-Stewart,1
5,sule,Roasted-salmon-with-balsamic-sauce-309887,5
6,sule,Vegetarian-Lentil-Burger-575506,1
7,sule,Garlic_herb-Roasted-Chicken-My-Recipes,4
8,sule,Cuban-roast-pork-_lechon-asado_-351717,1
9,sule,Cuban-Speciality_-Potato-Filled-With-Meat-1012661,1
10,sule,Buffalo-Chicken-Taquitos-1186877,1
11,sule,Slow-Cooker-Salsa-Verde-Chicken-Tacos-1559821,1
12,sule,Pork-Schnitzels-778938,1
13,sule,Runzas-_Bierocks_-1601298,1
14,sule,Spanish-style-garlic-shrimp-298317,4
15,sule,Spanish-Chorizo-Omelette-with-Irregular-Mushrooms-1802850,4
16,sule,Moroccan-Inspired-Pork-Stew-1332144,2
17,sule,Moroccan-Spiced-Fish-1994862,3
