,username,favorite_cusine,least_fav_cuisine
0,evette_cant_get_enough_english_food_984,English,Spanish
1,perry_cant_live_without_italian_eatz_096,Italian,Greek
2,italian_connoisseur_719,Italian,German
3,mexican_fan_269,Mexican,Chinese
4,chinese_finesser_593,Chinese,Thai
5,mediterranean_fan_326,Mediterranean,German
6,hungarian_connoisseur_714,Hungarian,Irish
7,trang_cant_get_enough_swedish_food_865,Swedish,Mexican
8,trang_only_eats_chinese_food_076,Chinese,Mexican
9,luciano_cant_live_without_moroccan_food_879,Moroccan,American
