,username,favorite_cusine,least_fav_cuisine
0,indian_finesser_272,Indian,Asian
1,raye_cant_get_enough_swedish_eatz_180,Swedish,Mediterranean
2,southwestern_fan_848,Southwestern,Mexican
3,kathey_only_eats_swedish_eatz_742,Swedish,American
4,trang_cant_live_without_american_eatz_522,American,Spanish
5,mediterranean_connoisseur_765,Mediterranean,Asian
6,southern & soul food_eatz_822,Southern & Soul Food,Japanese
7,summer_cant_get_enough_moroccan_grub_052,Moroccan,Cuban
8,robbi_cant_get_enough_german_food_636,German,Swedish
9,summer_cant_get_enough_moroccan_eatz_262,Moroccan,Mediterranean
10,jacob_only_eats_mexican_grub_522,Mexican,Asian
11,cristina_needs_english_eatz_220,English,Italian
12,silas_cant_live_without_american_eatz_277,American,Swedish
13,american_fan_199,American,Indian
14,greek_connoisseur_067,Greek,German
15,anton_cant_get_enough_chinese_eatz_412,Chinese,Greek
16,tashia_cant_live_without_american_eatz_577,American,Indian
17,danyel_needs_southern & soul food_food_855,Southern & Soul Food,Thai
18,hungarian_fan_754,Hungarian,Greek
19,german_connoisseur_992,German,Italian
