,recipe_id,author,rating,date
0,246548,Cherry Jimenez,5,6/2/2018
1,246548,Lisa Marie Lindley-Wheelock,5,10/3/2016
2,246548,JohnRascal,2,9/24/2016
3,246548,Litamykel,5,10/3/2016
4,246548,"Soup Loving Nicole ALLRECIPES ALLSTAR This reviewer is an Allrecipes Allstar. Allstars are loyal community members selected to be brand ambassadors based on onsite participation, interest, and commitment. Allstars may be compensated for their participation in the Allrecipes Allstar Program. Allstar",5,3/15/2016
5,246548,dannyb,4,9/28/2016
6,141678,Bernadene,5,1/15/2012
7,141678,kimberly ann,5,9/1/2008
8,141678,Tiffany McConnell,5,6/20/2012
9,141678,Rocco45,5,2/11/2013
10,141678,JAKOBSMOM,5,7/28/2008
11,141678,Mary Alice,5,3/30/2012
12,141678,ICookItsWhatIDo,5,3/27/2011
13,141678,Askins Girls Cooking,5,3/4/2010
14,141678,Jodi,5,8/31/2010
15,141678,simpleisgood,5,1/13/2012
16,141678,donnabean,5,1/18/2011
17,141678,mrsdoos,5,9/30/2007
18,141678,Jazzy,5,4/16/2013
19,141678,leebs,1,1/12/2010
20,141678,Stephanie Bolger-Thurtle,5,6/24/2011
21,141678,CookinBug,5,7/5/2012
22,141678,Joyce,5,6/24/2011
23,141678,Sara Rogers,5,8/23/2008
24,141678,Zeke,5,9/18/2009
25,141678,janie,1,6/25/2011
26,141678,ROGAMIL,4,8/15/2007
27,141678,LEITZ20,1,3/23/2009
28,141678,Dianne,4,2/15/2011
29,141678,Wandress,4,6/23/2011
30,141678,Carole McMarlin,5,7/24/2007
31,141678,LIBRARYGODDESS,5,3/11/2014
32,141678,Jane Guzauskas Ruby,5,2/13/2014
33,141678,JBfantasy,5,12/14/2010
34,141678,just_mary1971,5,12/12/2010
35,141678,Teressa DeJong Drenth,4,3/4/2010
36,141678,Airisaiia,5,1/24/2010
37,141678,Jennifer Brandstrom,5,3/6/2012
38,141678,zeldash,5,12/22/2010
39,141678,Brooke Kennedy Orner,5,8/10/2011
40,141678,CINDYLU35,4,7/30/2010
41,141678,Brooke in CP,5,1/30/2011
42,141678,Jim Fields,5,2/11/2012
43,141678,Tiny72,5,9/15/2012
44,141678,Conny Bannowsky,5,9/1/2012
45,141678,babybunny,1,1/24/2012
46,141678,lisa j,3,4/2/2012
47,141678,MissMandy1121,4,9/4/2012
48,141678,Mrs. K,5,6/14/2012
49,141678,f1shst1x,5,6/11/2010
50,141678,Diana,5,5/22/2015
51,141678,Sarah Jo,4,11/27/2011
52,141678,scrapper9494,5,8/7/2011
53,141678,AMCDONAL86,5,2/16/2008
54,141678,Traceybakes,5,2/7/2011
55,141678,Jennaveve,5,7/30/2011
56,141678,Scot Faile,5,1/7/2011
57,141678,Monica G.,4,6/27/2010
58,141678,Donnajpv,5,12/30/2011
59,141678,Corbs09,1,9/23/2009
60,141678,CCREID,5,6/9/2007
61,141678,Sonoran Sweetheart,5,11/21/2011
62,141678,Devin's Mumma,5,3/4/2010
63,141678,BudsGurls,5,6/29/2011
64,141678,Cora,5,8/2/2009
65,141678,Liz Whalen Tarditi,5,4/7/2012
66,141678,Mary-Jane Kehler,5,2/1/2012
67,141678,ALLICAT1998,4,3/3/2010
68,141678,KNKBAH,1,11/17/2008
69,141678,Alameda Island Girl,4,2/12/2012
70,141678,Karma Hunt,5,12/14/2007
71,141678,smorehead,5,3/31/2012
72,141678,Kristen Tyler Griffin,5,1/6/2009
73,141678,Julana,5,11/3/2008
74,141678,Misty Silk,5,3/1/2009
75,141678,MICHELLEK0806,4,1/11/2011
76,141678,parothstein,4,12/27/2011
77,141678,Scott C,5,12/19/2011
78,141678,Amalloch,5,1/17/2011
79,141678,Suemck,5,7/14/2011
80,141678,Scott,4,3/14/2012
81,141678,MACLIZ,5,2/24/2010
82,141678,Cara,1,10/21/2008
83,141678,Alison,4,3/11/2008
84,141678,poseyp,4,5/27/2013
85,141678,Elinor Gray,5,11/27/2011
86,141678,SarahDJ17,5,8/2/2007
87,141678,stacey smith,3,1/4/2012
88,141678,ErinOC,5,8/8/2011
89,141678,char0789,5,10/20/2011
90,141678,Crystal S,5,1/7/2011
91,141678,"Lisa Altmiller ALLRECIPES ALLSTAR This reviewer is an Allrecipes Allstar. Allstars are loyal community members selected to be brand ambassadors based on onsite participation, interest, and commitment. Allstars may be compensated for their participation in the Allrecipes Allstar Program. Allstar",5,6/26/2011
92,141678,Cat Lady Cyndi,5,6/16/2009
93,141678,frugalmama,5,12/19/2011
94,141678,hammer,5,2/1/2012
95,141678,CAUDAIN,4,5/4/2008
96,141678,xlucyferx,5,11/20/2011
