,username,recipe_id,rating
2,chinese_fan_809,Sausage-Sauerkraut-Sloppy-Joes-1557576,2
9,chinese_fan_809,Bratwurst-With-Apples_-Onion_-And-Sauerkraut-Epicurious,5
6,chinese_fan_809,Sauerbraten-1500604,3
5,chinese_fan_809,Sauerkraut-Chickpea-Flour-Ravioli-_-Spiced-Applesauce-1592004,2
8,chinese_fan_809,German-Pork-Chops-and-Sauerkraut-AllRecipes-40040,2
7,chinese_fan_809,Sirloin-Stroganoff-MyRecipes-249593,1
1,chinese_fan_809,Runzas-_Bierocks_-1601298,2
3,chinese_fan_809,Sauerbraten-Beef-in-Gingersnap-Gravy-1540117,5
4,chinese_fan_809,Sauerbraten-1340986,5
0,chinese_fan_809,Pork-Schnitzels-778938,1
13,chinese_fan_809,Easy-Chicken-Teriyaki-1172111,5
17,chinese_fan_809,Chili-shrimp-and-asparagus-stir-fry-352470,5
11,chinese_fan_809,Asian-Style-Scallops-I-Adore-Food-55293,5
15,chinese_fan_809,World_s-Easiest-Garlicky-Green-Beans-Stir-Fry-685309,5
10,chinese_fan_809,Easy-Noodle-Stir-Fry-1170602,5
14,chinese_fan_809,Garlic-Ginger-Shrimp-Stir-fry-758551,5
18,chinese_fan_809,Chinese-Beef-Stir-Fry-1715262,5
19,chinese_fan_809,Steamed-Scallops-with-Soy-Sauce-and-Garlic-Oil-497320,5
12,chinese_fan_809,Spicy-Garlic-and-Pepper-Shrimp-Stir-Fry-1192554,5
16,chinese_fan_809,Ginger-beef-_-broccoli-298531,5
20,chinese_fan_809,Cuban-roast-pork-_lechon-asado_-351717,4
25,chinese_fan_809,Cuban-Black-Beans-_with-Kale_-2031963,1
24,chinese_fan_809,Slow-Cooker-Cuban-Style-Chicken-Stew-1513701,1
26,chinese_fan_809,Cuban-Style-Lamb-1733103,3
22,chinese_fan_809,Cuban-Shredded-Beef-894519,4
23,chinese_fan_809,Cuban-Empanadas-1299337,1
28,chinese_fan_809,Cuban-Style-Pulled-Pork-Sliders-495061,2
29,chinese_fan_809,Cuban-Potato-Balls-_Papas-Rellenas_-481776,4
21,chinese_fan_809,Cuban-Speciality_-Potato-Filled-With-Meat-1012661,1
27,chinese_fan_809,Cuban-Red-Beans-1235096,2
33,chinese_fan_809,Hungarian-Beef-Goulash-1321475,1
34,chinese_fan_809,Hungarian-Goulash-I-1605017,4
32,chinese_fan_809,Slow-Cookers-Beef-Paprikash-1044728,4
36,chinese_fan_809,Hungarian-Goulash-_Slow-Cooker_-1477328,2
35,chinese_fan_809,Hungarian-Goulash-623141,3
31,chinese_fan_809,Marha-Porkolt---Hungarian-Beef-Paprika-Stew-1019991,4
30,chinese_fan_809,Hungarian-Goulash-1975672,4
37,chinese_fan_809,Hungarian-Beef-Goulash-1360569,4
39,chinese_fan_809,Slow-Cooker-Hungarian-Goulash-1099957,5
38,chinese_fan_809,Crockpot-Hungarian-Goulash-1784747,4
40,chinese_fan_809,Beef-Negimaki-1128838,3
42,chinese_fan_809,Miso-Glazed-Salmon-1077104,4
47,chinese_fan_809,Chicken-Teriyaki-573544,5
43,chinese_fan_809,Unagi-Don-_Unadon_-1032097,1
45,chinese_fan_809,Japanese-Beef-Steak-1612087,2
41,chinese_fan_809,Beef-Teriyaki-978715,4
48,chinese_fan_809,Japanese-Crispy-Fried-Shrimp-630308,2
49,chinese_fan_809,Protein-Packed-Japanese-Tofu-Steak-1314305,5
46,chinese_fan_809,Black-Cod-with-Miso-_Miso-marinated-Black-Cod_-1455849,2
44,chinese_fan_809,Nobu_s-Miso-Marinated-Black-Cod-2011466,3
57,chinese_fan_809,Albondigas-_Spanish-Meatballs_-1116469,2
55,chinese_fan_809,Chunky-Vegetable-Paella-1717560,3
56,chinese_fan_809,Speedy-Shrimp-and-Orzo-Paella-1197247,5
54,chinese_fan_809,Spanish_style-Shrimp-With-Garlic-My-Recipes,2
50,chinese_fan_809,Spanish-style-garlic-shrimp-298317,2
51,chinese_fan_809,Spanish-Chorizo-Omelette-with-Irregular-Mushrooms-1802850,3
52,chinese_fan_809,Spanish-rice-with-chicken-299070,3
53,chinese_fan_809,Broiled-Spanish-Mackerel-AllRecipes-36799,2
58,chinese_fan_809,Spanish-Meatballs-_Albondigas_-with-Pintos_-Zucchini-and-Tomato-1071290,1
59,chinese_fan_809,Spanish-Recipe-Caldillo-De-Perro-1520879,3
60,chinese_fan_809,Moroccan-Inspired-Pork-Stew-1332144,3
68,chinese_fan_809,Moroccan-Chicken-with-Lemons-and-Olives-1825054,4
64,chinese_fan_809,White-Bean-Tagine-_Loubia_-989755,2
67,chinese_fan_809,Moroccan-Meat-Cigars-Allrecipes,3
66,chinese_fan_809,Moroccan-Spiced-Tuna-Steaks-1519093,2
61,chinese_fan_809,Moroccan-Spiced-Fish-1994862,3
65,chinese_fan_809,Slow-Cooker-Beef-_-Sweet-Potato-Tagine-985719,2
69,chinese_fan_809,Chicken-Tagine-with-Preserved-Lemon_-Olives-and-Thyme-1514904,5
62,chinese_fan_809,Spicy-Moroccan-Shrimp-Tagine-513928,3
63,chinese_fan_809,Moroccan-vegetable-stew-333901,3
73,chinese_fan_809,Greek-Stuffed-Tomatoes-With-Quinoa-And-Black-Lentils-556703,3
76,chinese_fan_809,Feta-Stuffed-Greek-Meatballs-with-Lemon-Garlic-Yogurt-Sauce-991145,2
70,chinese_fan_809,Spanakopita-Casserole-490232,3
75,chinese_fan_809,Savory-Greek-Waffle-Pizzas-1522725,2
74,chinese_fan_809,Greek-Pizza-1253983,5
79,chinese_fan_809,Stuffed-Grape-Leaves-with-Cucumber-Yogurt-Sauce-1026905,2
72,chinese_fan_809,Skinny_-Greek-Style-Vegetarian-Pizza_-Ready-in-10-Minutes_-633758,3
71,chinese_fan_809,Spinach-and-Feta-Greek-Stuffed-Pork-Chops-1273937,1
78,chinese_fan_809,Greek-Meatballs-in-Lemon-Sauce-1566510,2
77,chinese_fan_809,Chicken-Tzatziki-Pizza-1707167,4
89,chinese_fan_809,Marrow-Curry-1233252,4
83,chinese_fan_809,Healthy-Paneer-Makhani-1263105,4
87,chinese_fan_809,How-to-make-Masala-Fish-Fry-1281115,3
80,chinese_fan_809,5-Minute-Salmon-Sauce-Indian-Style-1474008,2
84,chinese_fan_809,Beef-Masala-Curry-1181655,5
81,chinese_fan_809,Palak-daal-308711,4
86,chinese_fan_809,Dhal-Curry-983208,4
88,chinese_fan_809,Dum-Aloo-1087722,1
85,chinese_fan_809,Mattar-Paneer-1421128,3
82,chinese_fan_809,Indian-Style-Baked-Tofu-1507752,2
92,chinese_fan_809,Slow-Cooker-Southern-Style-Ham-1061940,1
93,chinese_fan_809,Mama_s-Fried-Chicken-1894447,3
99,chinese_fan_809,Braised-Country-Ribs-in-Tomato-Sauce-1062395,4
95,chinese_fan_809,Southern-Honey-Baked-Ham-1360914,5
98,chinese_fan_809,Carolina-Style-Slow-Cooker-Pulled-Pork-1223383,3
91,chinese_fan_809,Pulled-Pork_-North-Carolina-Style-783556,5
97,chinese_fan_809,Frugal-Southern-Beans-and-Ham-1070048,2
90,chinese_fan_809,Mama_s-Fried-Chicken-1050513,5
94,chinese_fan_809,Southern-Style-Pulled-Pork-BBQ-471484,3
96,chinese_fan_809,Keto-Crispy-Fried-Chicken-1706866,3
108,chinese_fan_809,How-To-Make-Pork-Dumplings-1008479,3
101,chinese_fan_809,Roasted-salmon-with-balsamic-sauce-309887,3
107,chinese_fan_809,Daging-Masak-Kicap-_Soy-Sauce-Beef_-497096,1
102,chinese_fan_809,Skillet-Beef-_-Broccoli-1549837,2
104,chinese_fan_809,Garlic-lover_s-vegetable-stir-fry-with-eggplant_-zucchini_-and-yellow-squash-309526,3
105,chinese_fan_809,Asian-stir-fry-303637,3
106,chinese_fan_809,Nobu_s-Miso-Marinated-Black-Cod-546663,5
109,chinese_fan_809,Peanut-Sesame-Chicken-Rice-Paper-Rolls-1555865,4
103,chinese_fan_809,10-Minute-Stir-Fry-1192417,5
100,chinese_fan_809,Asian_Style-Pork-Chops-Martha-Stewart,1
116,chinese_fan_809,Corned-Beef-and-Cabbage-1545664,2
115,chinese_fan_809,Corned-Beef-And-Cabbage-TasteOfHome_1,2
113,chinese_fan_809,Bacon-and-Cabbage-Stir-fry-1018148,3
119,chinese_fan_809,Core-Irish-Beef-Stew-Recipezaar,4
117,chinese_fan_809,Irish-Beef-Stew-Recipezaar_5,2
110,chinese_fan_809,Corned-Beef-and-Cabbage-1520686,3
112,chinese_fan_809,Guinness-Irish-Lamb-Stew-1752473,2
111,chinese_fan_809,Slow-Cooker-Traditional-Irish-Stew-1551337,1
114,chinese_fan_809,Vegan-Irish-Hand-Pies-1894258,2
118,chinese_fan_809,Coddle-Food_com-181592,5
124,chinese_fan_809,English-Roast-Beef-Allrecipes,2
120,chinese_fan_809,Sunday-Rib-Roast-Epicurious,5
123,chinese_fan_809,The-Best-English-Muffin-Pepperoni-Pizza-776866,1
129,chinese_fan_809,Cottage-Pie-Allrecipes,4
125,chinese_fan_809,Panfried-Chinese-Pork-Pie-_Xian-Bing_-1512743,1
127,chinese_fan_809,Pork-Pie-Allrecipes,1
122,chinese_fan_809,Minced-Beef-Wellington-1243870,5
121,chinese_fan_809,Perfect-Sunday-Roast-1575220,1
126,chinese_fan_809,Mini-Beef-Wellingtons-1443669,4
