,username,recipe_id,rating
6,german_luver_439,Sauerbraten-1500604,5
1,german_luver_439,Runzas-_Bierocks_-1601298,5
3,german_luver_439,Sauerbraten-Beef-in-Gingersnap-Gravy-1540117,5
17,german_luver_439,Chili-shrimp-and-asparagus-stir-fry-352470,5
11,german_luver_439,Asian-Style-Scallops-I-Adore-Food-55293,4
16,german_luver_439,Ginger-beef-_-broccoli-298531,2
28,german_luver_439,Cuban-Style-Pulled-Pork-Sliders-495061,4
23,german_luver_439,Cuban-Empanadas-1299337,3
24,german_luver_439,Slow-Cooker-Cuban-Style-Chicken-Stew-1513701,5
39,german_luver_439,Slow-Cooker-Hungarian-Goulash-1099957,4
34,german_luver_439,Hungarian-Goulash-I-1605017,1
33,german_luver_439,Hungarian-Beef-Goulash-1321475,5
47,german_luver_439,Chicken-Teriyaki-573544,2
45,german_luver_439,Japanese-Beef-Steak-1612087,5
42,german_luver_439,Miso-Glazed-Salmon-1077104,3
53,german_luver_439,Broiled-Spanish-Mackerel-AllRecipes-36799,1
59,german_luver_439,Spanish-Recipe-Caldillo-De-Perro-1520879,2
58,german_luver_439,Spanish-Meatballs-_Albondigas_-with-Pintos_-Zucchini-and-Tomato-1071290,1
69,german_luver_439,Chicken-Tagine-with-Preserved-Lemon_-Olives-and-Thyme-1514904,4
60,german_luver_439,Moroccan-Inspired-Pork-Stew-1332144,3
63,german_luver_439,Moroccan-vegetable-stew-333901,4
70,german_luver_439,Spanakopita-Casserole-490232,3
77,german_luver_439,Chicken-Tzatziki-Pizza-1707167,1
74,german_luver_439,Greek-Pizza-1253983,2
84,german_luver_439,Beef-Masala-Curry-1181655,2
88,german_luver_439,Dum-Aloo-1087722,5
83,german_luver_439,Healthy-Paneer-Makhani-1263105,2
95,german_luver_439,Southern-Honey-Baked-Ham-1360914,4
94,german_luver_439,Southern-Style-Pulled-Pork-BBQ-471484,5
90,german_luver_439,Mama_s-Fried-Chicken-1050513,4
103,german_luver_439,10-Minute-Stir-Fry-1192417,4
101,german_luver_439,Roasted-salmon-with-balsamic-sauce-309887,5
102,german_luver_439,Skillet-Beef-_-Broccoli-1549837,3
113,german_luver_439,Bacon-and-Cabbage-Stir-fry-1018148,5
114,german_luver_439,Vegan-Irish-Hand-Pies-1894258,3
111,german_luver_439,Slow-Cooker-Traditional-Irish-Stew-1551337,3
124,german_luver_439,English-Roast-Beef-Allrecipes,4
